latitude,longitude,brightness
-5.401,-44.022,312.5
-5.068,-42.584,309.3
-5.069,-42.594,321
-5.054,-44.771,300.8
-4.886,-43.909,310.2
-4.983,-44.612,308.6
-4.989,-44.735,305.6
-4.991,-44.748,302.6
-4.766,-43.361,304.7
-4.709,-44.254,316.6
-4.708,-44.249,311.4
-4.71,-44.26,307.5
-4.15,-40.591,303.1
-4.797,-45.932,312.4
-4.622,-44.811,309.9
-4.624,-44.824,308.1
-4.397,-43.767,311
-4.596,-45.457,318.2
-4.598,-45.47,306.1
-4.594,-45.463,323.9
-4.37,-43.951,305.6
-4.25,-43.238,306.6
-4.255,-43.853,318.6
-4.234,-43.845,318.4
-4.208,-43.947,303.9
-3.963,-42.244,345.1
-3.964,-42.253,377.8
-4.205,-43.943,304.6
-4.176,-43.947,306
-4.178,-43.958,325.8
-4.429,-45.754,304.6
-3.925,-42.306,332.8
-3.927,-42.315,331.9
-3.916,-42.307,341.7
-3.918,-42.316,334.6
-4.14,-44.273,321.3
-4.186,-45.407,301.5
-4.031,-46.186,300.2
-3.601,-43.404,327.4
-3.603,-43.414,309.1
-3.592,-43.405,310.7
-3.518,-43.33,310.5
-3.509,-43.332,316.1
-3.51,-43.342,327.5
-3.568,-44.413,304.3
-3.403,-43.303,306.8
-3.409,-44.071,306.7
-3.41,-44.082,313.9
-3.33,-44.023,325.3
-3.331,-44.034,326
-3.32,-44.025,312.2
-3.322,-44.036,315.6
-3.246,-44.15,302.2
-3.247,-44.161,303.5
-2.959,-45.469,302.9
-2.948,-45.471,304.9
-2.955,-45.476,310.9
-2.634,-45.619,309.1
-2.636,-45.632,319.5
-2.282,-47.335,300.4
-2.304,-47.756,302.7
-1.9,-47.014,309
-1.894,-47.02,304.7
-1.079,-47.341,304.6
-1.082,-47.358,300
5.39,6.661,300.6
4.88,6.375,304.9
4.633,6.273,305.1
4.632,6.266,308.6
4.307,7.66,305.2
4.025,7.5,305.9
3.579,7.395,319.2
-7.461,11.564,308.7
-7.463,11.577,316.2
12.001,13.713,308.3
11.451,14.173,304.8
11.387,14.523,305
11.376,14.248,321.3
11.375,14.259,325.5
11.365,14.257,309.1
29.236,19.694,307.1
29.234,19.707,311.6
28.91,20.96,305.2
28.914,19.776,323.9
28.912,19.788,301.1
-25.052,122.478,336.5
-25.054,122.49,343.5
-24.587,118.963,341.8
-24.603,119.002,372.8
-24.604,119.012,354.1
-24.686,118.891,343.7
-24.759,119.362,341.9
-24.76,119.372,370.6
-24.762,119.382,334.1
-24.854,119.144,331.9
-24.856,119.154,333.6
-24.901,119.207,381.5
