latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.95,141.644,329.9,1.7,1.3,2017-11-20,0115,T,80,6.0NRT,295.3,41.2,D
-12.991,141.711,319.9,1.7,1.3,2017-11-20,0115,T,55,6.0NRT,297.8,18.7,D
-14.477,141.633,326.4,1.8,1.3,2017-11-20,0115,T,55,6.0NRT,301.2,17.5,D
-13.568,129.971,317.8,2.2,1.4,2017-11-20,0115,T,54,6.0NRT,295.1,21.6,D
-14.114,131.337,326.2,1.7,1.3,2017-11-20,0115,T,69,6.0NRT,297.7,23.3,D
-14.116,131.353,335.3,1.7,1.3,2017-11-20,0115,T,83,6.0NRT,298.2,47.7,D
-14.113,131.347,331.2,1.7,1.3,2017-11-20,0115,T,78,6.0NRT,298,36.9,D
-14.125,131.345,321.2,1.7,1.3,2017-11-20,0115,T,53,6.0NRT,297.2,14.2,D
-14.854,133.639,351.6,1.2,1.1,2017-11-20,0115,T,94,6.0NRT,303,57.6,D
-14.878,133.651,344.5,1.2,1.1,2017-11-20,0115,T,88,6.0NRT,306.7,38.8,D
-14.968,134.027,332.1,1.1,1.1,2017-11-20,0115,T,39,6.0NRT,308.5,11,D
-14.969,134.037,336.7,1.1,1.1,2017-11-20,0115,T,72,6.0NRT,309.7,19.1,D
-16.538,143.572,323.3,2.7,1.6,2017-11-20,0115,T,40,6.0NRT,297.1,30.7,D
-16.884,143.852,351.1,2.8,1.6,2017-11-20,0115,T,95,6.0NRT,298,231.8,D
-16.886,143.845,344.3,2.8,1.6,2017-11-20,0115,T,90,6.0NRT,298.1,173.9,D
-16.889,143.872,327.3,2.8,1.6,2017-11-20,0115,T,65,6.0NRT,295.3,61.4,D
-15.286,131.391,325.1,1.6,1.2,2017-11-20,0115,T,57,6.0NRT,300.6,12.9,D
-15.297,131.389,343.1,1.6,1.2,2017-11-20,0115,T,88,6.0NRT,301.3,64.9,D
-15.299,131.404,338.4,1.6,1.2,2017-11-20,0115,T,84,6.0NRT,301,49.5,D
-16.273,137.273,342.3,1,1,2017-11-20,0115,T,84,6.0NRT,308.3,34.2,D
-16.282,137.271,354.3,1,1,2017-11-20,0115,T,95,6.0NRT,306,61.3,D
-16.291,137.27,357.5,1,1,2017-11-20,0115,T,98,6.0NRT,307.4,69.8,D
-17.201,144.128,328.7,3,1.6,2017-11-20,0115,T,53,6.0NRT,300,61,D
-17.201,144.123,327.6,3,1.6,2017-11-20,0115,T,37,6.0NRT,300.4,56.3,D
-17.071,141.11,330.2,1.8,1.3,2017-11-20,0115,T,73,6.0NRT,307.1,26.3,D
-17.085,141.125,331.6,1.8,1.3,2017-11-20,0115,T,64,6.0NRT,306.8,31.7,D
-16.396,135.276,334.7,1,1,2017-11-20,0115,T,64,6.0NRT,308.2,12.9,D
-17.457,143.305,332.4,2.6,1.6,2017-11-20,0115,T,69,6.0NRT,307.2,62.6,D
-16.405,135.275,334.4,1,1,2017-11-20,0115,T,53,6.0NRT,310.8,11.6,D
-17.518,143.419,326.4,2.7,1.6,2017-11-20,0115,T,37,6.0NRT,303.3,34,D
-17.54,143.365,331.3,2.7,1.6,2017-11-20,0115,T,49,6.0NRT,305.4,51.1,D
-17.543,143.39,328.1,2.7,1.6,2017-11-20,0115,T,21,6.0NRT,303.2,35.7,D
-17.552,143.466,325.5,2.7,1.6,2017-11-20,0115,T,40,6.0NRT,301.5,38.6,D
-17.555,143.364,337.8,2.7,1.6,2017-11-20,0115,T,85,6.0NRT,304,91.2,D
-17.557,143.389,333.2,2.7,1.6,2017-11-20,0115,T,74,6.0NRT,300.8,63.4,D
-17.566,143.464,337.8,2.7,1.6,2017-11-20,0115,T,85,6.0NRT,303.2,107.7,D
-17.58,143.463,325.1,2.7,1.6,2017-11-20,0115,T,37,6.0NRT,300.4,37.4,D
-17.547,143.383,341.1,2.7,1.6,2017-11-20,0115,T,88,6.0NRT,304,116.6,D
-17.555,143.459,332,2.7,1.6,2017-11-20,0115,T,67,6.0NRT,303.4,71.5,D
-16.272,133.653,331.3,1.1,1.1,2017-11-20,0115,T,72,6.0NRT,298.7,17.1,D
-17.561,143.382,331.4,2.7,1.6,2017-11-20,0115,T,68,6.0NRT,301.7,60.4,D
-17.569,143.457,328.7,2.7,1.6,2017-11-20,0115,T,56,6.0NRT,302.5,54.7,D
-16.28,133.641,335.9,1.1,1.1,2017-11-20,0115,T,80,6.0NRT,300.6,24.3,D
-16.282,133.651,330.8,1.1,1.1,2017-11-20,0115,T,71,6.0NRT,299.9,15.7,D
-17.584,143.456,323.4,2.7,1.6,2017-11-20,0115,T,21,6.0NRT,300.7,31.5,D
-17.635,143.399,325.9,2.7,1.6,2017-11-20,0115,T,61,6.0NRT,303.4,36.2,D
-17.639,143.393,326.4,2.7,1.6,2017-11-20,0115,T,69,6.0NRT,303.7,38,D
-17.696,143.261,330.9,2.6,1.6,2017-11-20,0115,T,77,6.0NRT,305,53.9,D
-17.699,143.285,325.6,2.6,1.6,2017-11-20,0115,T,21,6.0NRT,304.6,31.4,D
-17.713,143.284,328,2.6,1.6,2017-11-20,0115,T,55,6.0NRT,303.7,42.7,D
-17.716,143.308,328.7,2.6,1.6,2017-11-20,0115,T,56,6.0NRT,303.2,49.4,D
-17.722,143.11,335.3,2.5,1.5,2017-11-20,0115,T,83,6.0NRT,305.4,76,D
-17.703,143.278,328.4,2.6,1.6,2017-11-20,0115,T,52,6.0NRT,304.3,45.2,D
-17.72,143.301,331.1,2.6,1.6,2017-11-20,0115,T,71,6.0NRT,303.2,63,D
-17.462,140.863,328,1.7,1.3,2017-11-20,0115,T,66,6.0NRT,307.4,18.4,D
-17.661,142.623,336.7,2.3,1.5,2017-11-20,0115,T,67,6.0NRT,310.5,60.8,D
-17.713,143.105,325.5,2.5,1.5,2017-11-20,0115,T,61,6.0NRT,305.2,28,D
-17.716,143.128,324.2,2.6,1.5,2017-11-20,0115,T,50,6.0NRT,305.3,25.3,D
-17.727,143.103,325.3,2.5,1.5,2017-11-20,0115,T,30,6.0NRT,305,22.6,D
-17.73,143.127,329.3,2.6,1.5,2017-11-20,0115,T,49,6.0NRT,306.8,43.8,D
-17.744,143.125,335.1,2.6,1.5,2017-11-20,0115,T,82,6.0NRT,306.9,74,D
-17.757,143.124,326.4,2.6,1.5,2017-11-20,0115,T,61,6.0NRT,305.1,29.3,D
-17.763,143.172,322.8,2.6,1.5,2017-11-20,0115,T,47,6.0NRT,303.9,22.9,D
-17.774,143.146,333.3,2.6,1.5,2017-11-20,0115,T,74,6.0NRT,305.3,69.1,D
-17.777,143.17,345.8,2.6,1.5,2017-11-20,0115,T,91,6.0NRT,306.4,156.7,D
-17.779,143.195,328.8,2.6,1.5,2017-11-20,0115,T,37,6.0NRT,303.9,49.5,D
-17.788,143.145,327.6,2.6,1.5,2017-11-20,0115,T,35,6.0NRT,303.3,45.2,D
-17.791,143.169,355.8,2.6,1.5,2017-11-20,0115,T,97,6.0NRT,304.1,248.6,D
-17.793,143.193,327.1,2.6,1.5,2017-11-20,0115,T,49,6.0NRT,302.2,49.4,D
-17.78,143.14,328.7,2.6,1.5,2017-11-20,0115,T,49,6.0NRT,304.1,46.6,D
